source_id,source_name,source_type,public_urls,access_date,publication_status,evidence_status,public_artifacts,role,verification_note
SR-11,LPM,Perturbation representation model,https://www.nature.com/articles/s43588-025-00870-1 | https://pubmed.ncbi.nlm.nih.gov/41094040/ | https://doi.org/10.1038/s43588-025-00870-1,2026-09-08,Nature Computational Science plus PubMed,Published paper,Nature article PubMed record and DOI,Biology-aware perturbation embeddings,The DOI landing page may be crawler-limited; use the linked Nature or PubMed record. Compare as an embedding candidate with matched frozen-probe protocols.
SR-12,Scouter,Biology-aware representation model,https://www.nature.com/articles/s43588-025-00912-8 | https://github.com/PancakeZoy/scouter,2026-09-08,Nature Computational Science plus public code,Published + public code,Paper repository and GenePT-linked representation path,Knowledge-informed embedding candidate,Separate text-knowledge priors from learned perturbation-response evidence.
SR-13,VCBench,Virtual-cell benchmark,https://github.com/AppliedScientific/VCBench | https://www.biorxiv.org/content/10.64898/2026.06.18.733146v1.full | https://doi.org/10.64898/2026.06.18.733146,2026-09-08,Public v1.0.0 repository plus bioRxiv preprint,Public benchmark release,Code capability matrix and contamination manifest,Stage 2 protocol gate,The DOI landing page may be crawler-limited; use the linked bioRxiv record or repository. Match capability rows only; not every dimension is direct response prediction.
SR-14,sc-virtualcell-bench,Community perturbation benchmark,https://github.com/shrutisshikhare/sc-virtualcell-bench | https://virtualcellchallenge.org/,2026-09-08,Early-phase public repository,Early-phase public code,Repository Cell-Eval references and baseline list,Stage 2 community benchmark,Pin a commit and audit data provenance before using model coverage or scores.
SR-15,scBench,Single-cell workflow benchmark,https://github.com/latchbio/scbench,2026-09-08,Public executable repository,Public benchmark release,Verifiable problems and deterministic grader,Agent workflow evaluation,Pair task scores with biological validity failure taxonomy and environment records.
SR-16,BixBench,Computational-biology agent benchmark,https://github.com/Future-House/BixBench | https://arxiv.org/abs/2503.00096,2026-09-08,Public benchmark plus preprint,Public benchmark release,Notebook-derived tasks and benchmark documentation,Long multi-step agent trajectories,Environment parity and intermediate artifacts are part of reproducibility evidence.
SR-17,BioAgent Bench,Bioinformatics agent benchmark,https://github.com/bioagent-bench/bioagent-bench | https://arxiv.org/abs/2601.21800,2026-09-08,Public repository plus preprint,Public benchmark; verify tasks,Task data truth files Dockerfiles and run scripts,Robustness and failure handling,Audit task-level truth provenance and separate exact-match scientific validity and robustness.
SR-18,LAB-Bench,Broad biology capability benchmark,https://github.com/Future-House/lab-bench | https://arxiv.org/abs/2407.10362,2026-09-08,Public benchmark plus paper,Public knowledge benchmark,Question sets and benchmark documentation,Knowledge/reasoning pre-screen,Use as a knowledge layer not as evidence of safe or reproducible workflow execution.
SR-19,ClawBio,Skill library and tool layer,https://github.com/ClawBio/ClawBio | https://docs.clawbio.ai/reference/mcp,2026-09-08,Public repository plus MCP documentation,Public tool layer,Public skills local-first packaging and tool documentation,Auditable bioinformatics execution layer,Version each skill and review privacy provenance and hosted integration boundaries separately.
SR-20,Virtual Cell Challenge 2025,Virtual-cell challenge,https://github.com/ds4cabs/VirtualCellChallenge2025,2026-09-08,Public challenge repository,Public challenge,Challenge task description and public repository,Context-transfer challenge target,Use the challenge-specific H1 CRISPRi task and pin the release split and scoring rules before comparison.
SR-21,SCALE,Virtual-cell model,https://arxiv.org/abs/2603.17380,2026-09-08,arXiv preprint,Emerging preprint; source-reported,Public paper and reported atlas-scale evaluation,Large-scale endpoint transport candidate,Extract dataset split endpoint and metric definitions before placing any source-reported score beside Stage 1 results.
SR-22,PerturbDiff,Perturbation-response model,https://arxiv.org/abs/2602.19685 | https://github.com/DeepGraphLearning/PerturbDiff | https://katarinayuan.github.io/PerturbDiff-ProjectPage/,2026-09-08,arXiv preprint plus public repository,Emerging preprint + public code,Public project page repository and paper,Distributional response modeling candidate,Map the target distribution definition and public-input provenance to Cell-Eval before any future protocol work.
SR-23,Lingshu-Cell,Generative cellular world model,https://arxiv.org/abs/2603.25240 | https://github.com/alibaba-damo-academy/Lingshu-Cell,2026-09-08,arXiv preprint plus public repository,Emerging preprint + public code,Public code checkpoint descriptions and evaluation scripts,Genetic/cytokine virtual-cell candidate,Record the exact VCC PARSE and Cell-Eval configurations; repository dependencies and data availability require separate review.
SR-24,Biomni,General biomedical AI agent,https://github.com/snap-stanford/Biomni | https://doi.org/10.1101/2025.05.30.656746,2026-09-08,bioRxiv preprint plus public repository,Public system + preprint,Public agent code and paper landing page,Broad biomedical tool-use candidate,The public repository warns that generated code can run with broad system privileges; treat sandboxing and license boundaries as first-class evidence.
SR-25,FlowAgent,Multi-agent workflow framework,https://github.com/EnteloBio/flowagent,2026-09-08,Public repository,Public framework + benchmarks,Public framework and documented Benchmarks A–M,Workflow planning/recovery benchmark candidate,Separate framework-level improvements from backbone-model effects and validate claims on a fixed public task set.
SR-26,GoekeLab awesome-genomic-skills,Curated skill/MCP catalog,https://github.com/GoekeLab/awesome-genomic-skills,2026-09-08,Public GitHub catalog,Public catalog,Links to public skills MCP servers and benchmark resources,Bioinformatics agent discovery index,Curation is not validation; version each selected skill and evaluate its contract safety and reproducibility separately.
SR-27,BioSkillSafety,Agent-skill safety benchmark,https://openreview.net/pdf?id=fa4Obft2xN,2026-09-08,OpenReview preprint,Emerging public benchmark,Public taxonomy and adversarial benchmark description,Safety gate for bioinformatics agents,Audit attack cases judge protocol permissions and abstention requirements before using it as a selection gate.
