id,section,name,model_family,annotation,plot_role,selection_note,source
claude35,General LLM,Claude 3.5 Sonnet,General-purpose LLM,"High-performing general model in the source-linked marker annotation and gene-set interpretation snapshot.","General LLM · biology reasoning","Scores are prompt- and protocol-dependent; they do not establish executable pipeline reliability.",https://www.anthropic.com/news/claude-3-5-sonnet
claude-opus-3,General LLM,Claude 3 Opus,General-purpose LLM,"General LLM reference with published marker-based annotation and gene-set interpretation values.","General LLM · biology reasoning","Use the same prompts, marker evidence and grading rule when comparing models.",https://www.anthropic.com/news/claude-3-family
gpt4,General LLM,GPT-4,General-purpose LLM,"Early general LLM reference for marker-based cell annotation and gene-set interpretation.","General LLM · biology reasoning","A historical baseline; do not infer current product behavior from the model name alone.",https://openai.com/research/gpt-4
gpt4o,General LLM,GPT-4o,General-purpose LLM,"Multimodal general model with source-linked annotation and gene-set interpretation values.","General LLM · biology reasoning","Keep model version and prompt protocol fixed; no compatible workflow score is recorded here.",https://openai.com/index/hello-gpt-4o/
gpt4o-mini,General LLM,GPT-4o mini,General-purpose LLM,"Smaller general model included for an efficiency-oriented comparison of biology reasoning tasks.","General LLM · efficiency reference","Lower cost or size does not imply a comparable quality frontier across task types.",https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
gemini15-pro,General LLM,Gemini 1.5 Pro,General-purpose LLM,"Long-context general model represented by source-linked annotation and gene-set task snapshots.","General LLM · biology reasoning","Long context is not the same as reliable tool execution or biological validity.",https://deepmind.google/technologies/gemini/pro/
gemini15-flash,General LLM,Gemini 1.5 Flash,General-purpose LLM,"Faster general model included as a lower-cost biology reasoning reference.","General LLM · efficiency reference","Compare latency or cost separately from the task score; current plot uses published task values only.",https://deepmind.google/technologies/gemini/flash/
llama31-405b,General LLM,Llama 3.1 405B Instruct,Open-weight general LLM,"Large open-weight instruction model with source-linked marker annotation and gene-set values.","General LLM · open-weight reasoning","Parameter count is not directly comparable with closed models or mixture-of-experts active parameters.",https://ai.meta.com/blog/meta-llama-3-1/
llama31-70b,General LLM,Llama 3.1 70B Instruct,Open-weight general LLM,"Smaller open-weight Llama reference for biology reasoning and scaling comparisons.","General LLM · open-weight reasoning","Report inference setup and prompting because open-weight deployment choices affect results.",https://huggingface.co/meta-llama/Llama-3.1-70B
claude3-haiku,General LLM,Claude 3 Haiku,General-purpose LLM,"Compact general model included in the source-linked annotation and gene-set comparison.","General LLM · efficiency reference","Use as a cost/quality reference, not as evidence of robust bioinformatics execution.",https://www.anthropic.com/news/claude-3-haiku
command-r-plus,General LLM,Command R Plus,General-purpose LLM,"Retrieval-oriented general model included in the biology reasoning snapshot.","General LLM · retrieval-oriented","Retrieval configuration and external knowledge access can change the result substantially.",https://cohere.com/command
mistral-large,General LLM,Mistral Large,General-purpose LLM,"General model reference with source-linked annotation and gene-set interpretation values.","General LLM · biology reasoning","Keep the evaluation prompt and context identical across providers.",https://mistral.ai/news/mistral-large-2407/
deepseek-v3,General LLM,DeepSeek-V3,Mixture-of-experts LLM,"Large mixture-of-experts model retained as a scale reference without a compatible single-cell task score.","General LLM · scale backlog","Total and active parameter counts should not be mixed; keep missing biology scores as missing.",https://huggingface.co/deepseek-ai/DeepSeek-V3
qwen25-72b,General LLM,Qwen2.5-72B Instruct,Open-weight general LLM,"Large instruction-tuned open-weight reference without a compatible single-cell task score in this snapshot.","General LLM · open-weight backlog","Use only after a task-specific public evaluation is pinned.",https://huggingface.co/Qwen/Qwen2.5-72B-Instruct
kimi-k2,General LLM,Kimi K2,Mixture-of-experts LLM,"Mixture-of-experts scale reference with total and active parameter information but no compatible biology score.","General LLM · scale backlog","Plot total versus active parameters only with an explicit legend; keep both values in the source notes.",https://www.kimi.ai/blog/kimi-k2
gpt55,General LLM,GPT-5.5,General-purpose LLM,"Executable single-cell workflow benchmark entry rather than a marker-annotation or gene-set score.","General LLM · workflow agent","Interpret the value as end-to-end workflow accuracy, not isolated code generation.",https://github.com/latchbio/scbench
claude-opus-48,General LLM,Claude Opus 4.8,General-purpose LLM,"Executable single-cell workflow benchmark entry for end-to-end tool-use comparison.","General LLM · workflow agent","Workflow accuracy includes planning, code, execution and output handling; it is not directly comparable to annotation agreement.",https://github.com/latchbio/scbench
gpt54,General LLM,GPT-5.4,General-purpose LLM,"Executable single-cell workflow benchmark entry for practical analysis-agent comparison.","General LLM · workflow agent","Keep the benchmark version and execution environment fixed.",https://github.com/latchbio/scbench
gemini35-flash,General LLM,Gemini 3.5 Flash,General-purpose LLM,"Executable single-cell workflow benchmark entry for a faster general model.","General LLM · workflow agent","The workflow score is source-specific and should not be read as a general model ranking.",https://github.com/latchbio/scbench
claude-opus-47,General LLM,Claude Opus 4.7,General-purpose LLM,"Executable single-cell workflow benchmark entry for end-to-end analysis reliability.","General LLM · workflow agent","Check whether failures come from reasoning, code, environment or output formatting.",https://github.com/latchbio/scbench
gemini31-pro-preview,General LLM,Gemini 3.1 Pro Preview,General-purpose LLM,"Executable single-cell workflow benchmark entry for a preview model.","General LLM · workflow agent","Preview status and benchmark date should remain visible in any future comparison.",https://github.com/latchbio/scbench
claude-opus-46,General LLM,Claude Opus 4.6,General-purpose LLM,"Executable single-cell workflow benchmark entry for an earlier high-capability model.","General LLM · workflow agent","Use the same tool permissions and timeout policy as newer model entries.",https://github.com/latchbio/scbench
gpt52,General LLM,GPT-5.2,General-purpose LLM,"Executable single-cell workflow benchmark entry for a prior model generation.","General LLM · workflow agent","Treat the score as a reproducible benchmark snapshot, not a timeless product property.",https://github.com/latchbio/scbench
claude-sonnet-46,General LLM,Claude Sonnet 4.6,General-purpose LLM,"Executable single-cell workflow benchmark entry for a balanced general model.","General LLM · workflow agent","Pair workflow accuracy with failure analysis and biological correctness checks.",https://github.com/latchbio/scbench
